City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,wailua homesteads,22.0669,-159.378,28.44,78,0,5.14,US,1728687829
83,axim,4.8699,-2.2405,25.12,87,68,2.97,GH,1728687830
84,tazovsky,67.4667,78.7,-2.83,90,100,3.68,RU,1728687831
85,badger,64.8,-147.5333,9.14,53,0,5.14,US,1728687832
86,freetown,8.484,-13.2299,24.25,91,100,2.53,SL,1728687834
87,lichinga,-13.3128,35.2406,19.05,72,100,2.68,MZ,1728687835
88,al khafji,28.4391,48.4913,28.11,69,0,3.03,SA,1728687836
89,wulingyuan,29.3494,110.5441,15.21,72,96,1.03,CN,1728687837
90,new norfolk,-42.7826,147.0587,14.28,41,37,1.19,AU,1728687839
91,neiafu,-18.65,-173.9833,28.38,78,75,5.66,TO,1728687840
92,berezovyy,51.6667,135.7,4.51,69,61,2.48,RU,1728687841
93,khagaria,25.5,86.4833,23.78,75,84,2.63,IN,1728687842
94,alice springs,-23.7,133.8833,24.75,19,100,5.66,AU,1728687844
95,mount isa,-20.7333,139.5,30.87,35,3,5.66,AU,1728687845
96,beau vallon,-20.4189,57.6953,22.13,73,75,7.2,MU,1728687846
97,golfito,8.639,-83.166,22.5,96,100,0.48,CR,1728687848
98,qaqortoq,60.7167,-46.0333,3.24,57,100,1.7,GL,1728687849
99,sao felix do xingu,-6.6447,-51.995,29.32,38,68,1.0,BR,1728687850
100,stanley,54.868,-1.6985,4.6,85,88,3.93,GB,1728687851
101,hua hin,12.5707,99.9588,25.01,100,20,0.0,TH,1728687853
102,alofi,-19.0595,-169.9187,27.94,69,75,6.17,NU,1728687854
103,bogale,16.2833,95.4,25.0,93,97,1.19,MM,1728687855
104,poxoreo,-15.8372,-54.3892,27.59,57,72,2.23,BR,1728687857
105,diamantino,-14.4086,-56.4461,29.79,47,94,2.1,BR,1728687858
106,fale old settlement,-9.3852,-171.2468,27.96,76,25,7.25,TK,1728687859
107,isafjordur,66.0755,-23.124,-2.96,74,64,4.04,IS,1728687861
108,iskateley,67.6803,53.1512,-0.31,64,100,11.38,RU,1728687862
109,merano,46.6682,11.1595,12.04,82,83,1.66,IT,1728687863
110,plastun,44.7561,136.2939,11.42,79,1,1.51,RU,1728687864
111,recreo,-29.2818,-65.061,24.6,45,19,4.99,AR,1728687866
112,tekkali,18.6167,84.2333,24.87,88,59,1.57,IN,1728687867
113,la paz,-16.5,-68.15,14.99,46,20,6.17,BO,1728687608
114,dolzhanskaya,46.6311,37.8039,16.72,62,0,5.55,RU,1728687870
115,bel ombre,-4.6167,55.4167,26.91,78,20,7.2,SC,1728687871
116,mantua,45.1667,10.7833,13.32,89,0,0.45,IT,1728687872
117,kharan,28.5833,65.4167,24.52,12,0,3.48,PK,1728687873
118,saint-joseph,-21.3667,55.6167,20.21,76,43,6.17,RE,1728687875
119,jamestown,42.097,-79.2353,14.8,58,0,4.12,US,1728687876
120,tafuna,-14.3358,-170.72,31.97,66,40,5.66,AS,1728687877
121,kalmunai,7.4167,81.8167,25.55,86,96,2.95,LK,1728687879
122,demyansk,57.643,32.466,12.45,97,100,4.11,RU,1728687880
123,punta del este,-34.9667,-54.95,16.06,87,0,1.54,UY,1728687881
124,namibe,-15.1961,12.1522,20.22,82,10,1.29,AO,1728687882
125,akureyri,65.6835,-18.0878,-7.04,73,0,2.57,IS,1728687884
126,udachny,66.4167,112.4,-10.83,95,100,3.7,RU,1728687885
127,iqaluit,63.7506,-68.5145,1.85,93,100,3.6,CA,1728687886
128,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,46,75,11.0,RU,1728687888
129,enewetak,11.3474,162.3373,28.99,74,28,4.56,MH,1728687889
130,machico,32.7,-16.7667,24.45,82,75,1.34,PT,1728687890
131,guerrero negro,27.9769,-114.0611,25.63,52,1,5.99,MX,1728687891
132,lata,40.1629,-8.3327,15.8,96,100,1.93,PT,1728687893
133,kharkhorin,47.1975,102.8238,6.62,40,2,3.57,MN,1728687894
134,afaahiti,-17.75,-149.2833,23.44,83,76,5.05,PF,1728687898
135,robore,-18.3333,-59.75,28.05,78,80,0.0,BO,1728687899
136,puerto baquerizo moreno,-0.9,-89.6,21.55,94,75,5.14,EC,1728687900
137,yuzhno-kurilsk,44.0306,145.8556,11.9,61,28,7.32,RU,1728687902
138,jasidih,24.5167,86.65,23.53,66,84,2.02,IN,1728687903
139,luganville,-15.5333,167.1667,26.95,70,81,5.23,VU,1728687904
140,aasiaat,68.7098,-52.8699,-4.04,71,3,6.11,GL,1728687905
141,kalkaman,51.9525,76.0211,0.91,49,100,7.59,KZ,1728687907
142,alo,6.5486,4.2686,25.38,90,48,3.78,NG,1728687908
143,at-bashi,41.1702,75.8106,7.27,57,31,0.63,KG,1728687909
144,constantia,44.1833,28.65,19.38,71,100,4.89,RO,1728687911
145,broken hill,-31.95,141.4333,15.48,42,73,9.07,AU,1728687912
146,remire-montjoly,4.9167,-52.2667,27.02,89,75,1.03,GF,1728687913
147,belomorsk,64.5232,34.7668,10.42,92,100,5.19,RU,1728687914
148,dudinka,69.4058,86.1778,-7.33,97,100,1.22,RU,1728687916
149,shangzhi,45.2167,127.9667,6.61,65,2,1.99,CN,1728687917
150,sambava,-14.2667,50.1667,21.34,86,11,6.38,MG,1728687919
151,arawa,-6.2132,155.5367,28.77,77,99,1.33,PG,1728687920
152,nouadhibou,20.931,-17.0347,25.99,69,64,8.23,MR,1728687921
153,uturoa,-16.7333,-151.4333,25.46,75,6,6.71,PF,1728687922
154,alpine,32.835,-116.7664,32.04,26,0,4.12,US,1728687924
155,zeya,53.75,127.2667,0.1,82,77,2.62,RU,1728687925
156,tiksi,71.6872,128.8694,-11.08,96,67,3.07,RU,1728687926
157,crane,31.3974,-102.3501,32.48,13,0,7.77,US,1728687928
158,north fond du lac,43.8114,-88.4834,24.05,46,0,5.14,US,1728687929
159,vernon,50.2581,-119.2691,17.09,42,91,0.58,CA,1728687765
160,ilulissat,69.2167,-51.1,-2.99,54,0,1.54,GL,1728687931
161,severnoye,56.3491,78.3619,-4.74,70,85,7.44,RU,1728687933
162,arraial do cabo,-22.9661,-42.0278,22.98,100,75,8.75,BR,1728687934
163,naze,28.3667,129.4833,23.51,76,85,3.81,JP,1728687935
164,brisas de zicatela,15.8369,-97.0419,27.14,74,71,1.28,MX,1728687936
165,olonkinbyen,70.9221,-8.7187,-1.96,96,100,15.76,SJ,1728687938
166,weno,7.4515,151.8468,30.97,74,100,1.54,FM,1728687939
167,dailekh,28.8333,81.6667,17.37,67,24,2.56,NP,1728687940
168,santa elena de uairen,4.6167,-61.1333,21.73,79,100,1.05,VE,1728687941
169,dila,6.4167,38.3167,16.31,90,96,1.78,ET,1728687943
170,wabag,-5.4781,143.7021,19.71,67,17,1.06,PG,1728687944
171,ola,59.5833,151.2833,1.82,72,100,3.18,RU,1728687945
172,chonchi,-42.6128,-73.8092,9.51,90,74,2.8,CL,1728687947
173,pariaman,-0.619,100.12,24.03,89,100,1.62,ID,1728687948
174,bodo,67.28,14.405,4.87,80,20,5.14,NO,1728687949
175,ilanskiy,56.2358,96.065,-4.83,58,100,3.96,RU,1728687950
176,saint-philippe,-21.3585,55.7679,20.23,79,73,5.96,RE,1728687952
177,djambala,-2.5447,14.7533,21.29,89,79,2.0,CG,1728687953
178,antsiranana,-12.2787,49.2917,23.58,69,5,8.09,MG,1728687954
179,gouyave,12.1646,-61.7296,29.43,74,20,5.66,GD,1728687955
180,kill devil hills,36.0307,-75.676,17.21,72,0,0.0,US,1728687957
181,touros,-5.1989,-35.4608,24.75,75,82,6.69,BR,1728687958
182,hithadhoo,-0.6,73.0833,28.28,73,77,7.03,MV,1728687959
183,ar ruways,24.1103,52.7306,28.51,56,0,4.9,AE,1728687961
184,ak-suu,42.4995,78.527,9.57,44,66,1.07,KG,1728687962
185,newman,37.3138,-121.0208,31.14,30,4,0.89,US,1728687963
186,east london,-33.0153,27.9116,16.91,80,100,1.72,ZA,1728687964
187,port blair,11.6667,92.75,26.02,94,40,1.03,IN,1728687966
188,ambanja,-13.6833,48.45,22.12,86,27,1.52,MG,1728687967
189,nar'yan-mar,67.6713,53.087,-0.3,64,100,11.35,RU,1728687968
190,aksuat,48.7167,83.7,11.11,85,100,3.25,KZ,1728687969
191,chokwe,-24.5333,32.9833,22.16,63,4,3.07,MZ,1728687971
192,nadym,65.5333,72.5167,-3.08,67,100,3.55,RU,1728687972
193,kharp,66.8014,65.8081,-7.68,81,100,1.65,RU,1728687973
194,padampur,29.6833,73.6167,25.55,25,0,2.06,IN,1728687975
195,siwa oasis,29.2041,25.5195,28.38,30,0,0.47,EG,1728687976
196,i-n-salah,27.1935,2.4607,32.13,14,0,3.42,DZ,1728687977
197,kruisfontein,-34.0033,24.7314,12.93,81,99,2.09,ZA,1728687980
198,dingwall,57.5953,-4.4272,8.99,95,100,3.29,GB,1728688029
199,ust'-kut,56.7938,105.7672,-6.3,95,24,0.7,RU,1728688030
200,tari,-11.1105,14.3559,19.37,90,5,1.38,AO,1728688032
201,dhidhdhoo,6.8833,73.1,26.91,84,100,7.19,MV,1728688033
202,altai,46.3722,96.2583,4.6,40,32,3.19,MN,1728688034
203,yung shue wan,22.2333,114.1167,26.68,70,80,8.84,HK,1728688035
204,rezh,57.37,61.4043,-4.51,84,50,4.01,RU,1728688037
205,argo,37.6333,22.7333,24.01,49,88,2.14,GR,1728688038
206,massawa,15.6097,39.45,30.83,66,0,1.06,ER,1728688039
207,kuta,-8.7233,115.1723,26.97,94,20,3.09,ID,1728688040
208,pionerskiy,54.9508,20.2275,8.91,57,54,7.97,RU,1728688042
209,iskushuban,10.2837,50.23,25.22,71,40,2.39,SO,1728688043
210,niquero,20.0431,-77.5828,28.21,77,99,0.52,CU,1728688044
211,bamboo flat,11.7,92.7167,26.05,94,40,1.03,IN,1728688046
212,kodiak,57.79,-152.4072,8.73,93,100,13.38,US,1728688047
213,preobrazheniye,42.9019,133.9064,14.45,83,0,2.85,RU,1728688048
214,zaria,11.1113,7.7227,23.86,77,42,4.34,NG,1728688049
215,sanghar,26.0466,68.9481,27.09,55,0,3.56,PK,1728688051
216,castillos,-34.1667,-53.8333,13.33,94,0,1.66,UY,1728688052
217,coxim,-18.5067,-54.76,27.47,64,55,2.14,BR,1728688053
218,mirny,62.5353,113.9611,-9.66,98,82,1.11,RU,1728688055
219,island harbour,50.724,-1.2758,13.88,67,100,5.81,GB,1728688060
220,vadso,70.0744,29.7487,5.09,87,100,7.72,NO,1728688061
221,syas'stroy,60.1367,32.5691,11.04,97,100,3.69,RU,1728688063
222,zuunmod,47.7069,106.9528,-7.43,58,9,3.26,MN,1728688064
223,akhmet'a,42.0311,45.2075,12.79,94,80,1.8,GE,1728688065
224,medowie,-32.7333,151.8667,18.23,92,100,6.03,AU,1728688066
225,dunda,-8.1167,34.25,20.71,53,81,2.12,TZ,1728688068
226,ugbokpo,7.6565,7.8664,24.12,91,65,2.01,NG,1728688069
227,port douglas,-16.4833,145.4667,25.28,73,76,5.18,AU,1728687869
228,utrik,11.2278,169.8474,28.61,75,98,8.98,MH,1728688072
229,mejit,10.2753,170.8646,27.56,80,89,10.51,MH,1728688073
230,callao,-12.0667,-77.15,17.16,77,0,1.54,PE,1728688075
231,portland,45.5234,-122.6762,21.54,50,100,1.37,US,1728687269
232,richards bay,-28.783,32.0377,19.96,87,69,2.87,ZA,1728688078
233,puerto armuelles,8.2833,-82.8667,25.61,87,100,3.13,PA,1728688076
234,yerofey pavlovich,53.9667,121.9667,-3.74,68,60,1.7,RU,1728688080
235,ilebo,-4.3167,20.5833,21.05,90,89,1.19,CD,1728688082
236,dubai,25.2582,55.3047,29.96,66,0,2.06,AE,1728687469
237,nabire,-3.3667,135.4833,28.02,74,28,0.75,ID,1728688084
238,chamical,-30.36,-66.314,23.79,42,3,2.63,AR,1728688086
239,kayangel,8.0823,134.7173,29.03,71,7,3.45,PW,1728688087
240,sidney,-33.8679,151.2073,16.24,71,75,12.86,AU,1728688067
241,haiku-pauwela,20.9219,-156.3051,27.92,73,74,13.86,US,1728688089
242,alotau,-10.3069,150.4462,25.81,92,92,1.88,PG,1728688091
243,urzhum,57.1141,49.9996,-3.76,68,71,3.16,RU,1728688092
244,igrim,63.1906,64.4162,-3.43,70,26,1.81,RU,1728688093
245,cabedelo,-6.9811,-34.8339,26.37,76,97,5.97,BR,1728688095
246,tindouf,27.6711,-8.1474,25.91,42,1,7.6,DZ,1728688096
247,porto novo,6.4965,2.6036,25.65,86,39,3.25,BJ,1728688097
248,holualoa,19.6228,-155.9522,25.86,87,100,2.39,US,1728688098
249,kapuskasing,49.4169,-82.4331,6.8,87,100,5.51,CA,1728688100
250,vila franca do campo,37.7167,-25.4333,18.27,99,31,5.9,PT,1728688101
251,hammerfest,70.6634,23.6821,5.25,81,75,2.06,NO,1728688102
252,chandbali,20.7833,86.7667,25.02,88,51,2.56,IN,1728688103
253,dili,-8.5586,125.5736,28.79,53,62,1.72,TL,1728688105
254,calistoga,38.5788,-122.5797,26.57,38,82,3.37,US,1728688106
255,salinopolis,-0.6136,-47.3561,26.91,77,43,5.17,BR,1728688107
256,frederiksvaerk,55.9707,12.0225,8.94,89,68,3.13,DK,1728688108
257,buka,40.8108,69.1986,14.24,42,82,1.89,UZ,1728688110
258,dawei,14.0833,98.2,24.76,89,97,1.49,MM,1728688111
259,kapa'a,22.0752,-159.319,29.18,77,0,5.14,US,1728688113
260,praia,14.9215,-23.5087,27.3,83,100,3.6,CV,1728688115
261,berdychiv,49.8993,28.6024,12.17,91,100,6.09,UA,1728688116
262,sandnessjoen,66.0217,12.6316,7.13,54,97,14.26,NO,1728688118
263,astrakhan,46.3497,48.0408,6.93,76,0,3.0,RU,1728688119
264,college,64.8569,-147.8028,8.45,51,20,5.14,US,1728688120
265,oodweyne,9.4092,45.064,23.96,57,81,3.82,SO,1728688122
266,tolanaro,-25.0319,46.9987,21.38,80,61,8.29,MG,1728688123
267,kingaroy,-26.5333,151.8333,21.05,55,0,1.92,AU,1728688124
268,nizhneudinsk,54.9076,99.0276,-3.2,91,100,1.88,RU,1728688125
269,guiuan,11.0333,125.7247,28.84,73,100,2.84,PH,1728688127
270,selfoss,63.9331,-20.9971,-1.76,62,8,2.58,IS,1728688128
271,forster,-32.1667,152.5167,18.54,93,78,6.13,AU,1728688129
272,port mathurin,-19.6833,63.4167,21.92,68,100,10.67,MU,1728688130
273,sao tome,0.3365,6.7273,25.86,82,36,2.71,ST,1728688132
274,margate,51.3813,1.3862,10.25,67,72,4.39,GB,1728688133
275,marennes,45.8228,-1.1055,13.63,78,95,5.95,FR,1728688134
276,abra pampa,-22.7205,-65.697,16.87,6,1,0.21,AR,1728688136
277,maych'ew,12.7875,39.5422,12.33,63,0,1.19,ET,1728688137
278,anastasiyevskaya,45.2158,37.8926,17.09,65,16,0.78,RU,1728688138
279,loango,-4.6719,11.8312,25.26,87,70,2.97,CG,1728688139
280,gandi,12.9636,5.7434,30.35,42,88,3.38,NG,1728688141
281,pisco,-13.7,-76.2167,17.03,88,0,2.57,PE,1728688142
282,brookings,44.3114,-96.7984,16.36,48,0,4.63,US,1728687890
283,laguna,38.421,-121.4238,29.1,18,0,4.63,US,1728688145
284,tubarjal,30.4999,38.216,23.0,34,0,4.73,SA,1728688146
285,ratnagiri,16.9833,73.3,25.04,88,67,2.85,IN,1728688147
286,yaren,-0.5472,166.916,28.39,73,12,5.45,NR,1728688150
287,tralee,52.2704,-9.7026,7.97,67,78,1.85,IE,1728688151
288,tsiombe,-25.3,45.4833,21.33,71,78,2.26,MG,1728688152
289,singa,13.15,33.9333,26.94,62,20,3.67,SD,1728688154
290,san antonio de pale,-1.4014,5.6325,25.11,81,5,4.31,GQ,1728688155
291,bohinjska bistrica,46.2722,13.9535,10.71,96,20,1.84,SI,1728688156
292,margaret river,-33.95,115.0667,14.48,75,39,5.57,AU,1728688157
293,salahonda,2.1019,-78.7217,26.03,84,64,5.66,CO,1728688159
294,medina,24.4686,39.6142,30.24,20,0,1.54,SA,1728688160
295,takoradi,4.8845,-1.7554,24.88,88,53,3.21,GH,1728688161
296,kyzyl,51.7,94.45,5.65,74,96,0.26,RU,1728688162
297,loen,7.7601,168.2307,28.67,73,100,4.71,MH,1728688164
298,sibolga,1.7427,98.7792,24.65,90,100,0.85,ID,1728688165
299,saipan,15.1355,145.701,31.39,74,40,6.17,MP,1728688166
300,palmer,42.1584,-72.3287,14.17,51,40,1.54,US,1728688168
301,kenai,60.5544,-151.2583,9.45,64,0,13.89,US,1728688169
302,mahibadhoo,3.7833,72.9667,27.38,79,98,8.05,MV,1728688170
303,torre de moncorvo,41.1792,-7.0358,15.95,93,100,2.62,PT,1728688171
304,kristiansund,63.1115,7.732,2.85,93,100,8.23,NO,1728688173
305,atar,20.5169,-13.0499,34.55,22,47,4.41,MR,1728688174
306,kismayo,-0.3582,42.5454,25.27,87,31,6.76,SO,1728688176
307,harper,4.375,-7.7169,24.83,87,91,2.71,LR,1728688177
308,prince rupert,54.3161,-130.3201,13.83,58,0,3.09,CA,1728687967
309,paka,4.6374,103.4368,25.03,90,100,0.96,MY,1728688179
310,cabo san lucas,22.8909,-109.9124,28.16,69,0,5.28,MX,1728687661
311,punta arenas,-53.15,-70.9167,8.06,71,75,8.23,CL,1728688182
312,vilyuysk,63.7553,121.6247,-8.23,97,93,2.19,RU,1728688183
313,bambanglipuro,-7.95,110.2833,25.81,80,91,0.68,ID,1728688184
314,paramonga,-10.6667,-77.8333,18.09,83,17,3.37,PE,1728688186
315,kirakira,-10.4544,161.9205,29.18,71,99,3.05,SB,1728688187
316,general roca,-39.0333,-67.5833,15.93,23,77,12.67,AR,1728688188
317,saldanha,-33.0117,17.9442,14.35,92,59,4.25,ZA,1728688190
318,nasir,15.5894,32.5634,33.89,33,100,5.17,SD,1728688191
319,nogliki,51.8333,143.1667,7.8,70,100,4.68,RU,1728688192
320,grantsville,40.5999,-112.4644,28.64,19,0,4.02,US,1728688193
321,mbeni,-11.5014,43.3775,22.38,77,3,0.84,KM,1728688195
322,barra de santo antonio,-9.4047,-35.5072,24.26,76,86,4.96,BR,1728688196
323,cide,41.8921,33.0044,20.97,64,94,3.26,TR,1728688197
324,kerikeri,-35.2268,173.9474,17.17,62,0,3.58,NZ,1728688199
325,qarqaraly,49.4058,75.4742,7.64,78,98,6.72,KZ,1728688200
326,carqueiranne,43.0953,6.073,12.76,71,0,3.09,FR,1728688201
327,chui,-33.6971,-53.4616,14.51,91,26,2.53,UY,1728688202
328,darchula,29.8412,80.5287,9.27,54,2,2.51,NP,1728688205
329,westport,41.1415,-73.3579,17.11,53,0,2.68,US,1728688206
330,toliara,-23.35,43.6667,22.88,75,58,1.65,MG,1728688208
331,sawang wirawong,15.2416,105.0922,23.67,91,36,2.26,TH,1728688209
332,arkhangel'sk,64.5401,40.5433,5.06,93,100,6.0,RU,1728688210
333,taoudenni,22.6783,-3.9836,35.38,17,5,4.84,ML,1728688211
334,darnah,32.767,22.6367,28.03,38,0,2.48,LY,1728688213
335,sanming,26.2486,117.6186,18.01,86,7,1.16,CN,1728688214
336,kerman,30.2832,57.0788,17.83,17,0,1.36,IR,1728688215
337,calabozo,8.9242,-67.4293,28.9,65,100,2.08,VE,1728688216
338,natal,-5.795,-35.2094,24.36,83,20,2.57,BR,1728688134
339,ifanadiana,-21.3,47.6333,17.1,97,95,0.33,MG,1728688219
340,aykhal,66.0,111.5,-12.58,96,99,2.66,RU,1728688220
341,carora,10.1755,-70.0827,30.05,53,99,0.95,VE,1728688222
342,jakobstad,63.6749,22.7026,3.09,69,42,5.37,FI,1728688223
343,dwarka,22.2394,68.9678,27.5,71,100,5.09,IN,1728688224
344,fuglafjordur,62.244,-6.814,2.6,63,98,5.74,FO,1728688225
345,nyahururu,0.0421,36.3673,12.2,70,76,2.49,KE,1728688227
346,soure,-0.7167,-48.5233,27.43,77,100,6.76,BR,1728688228
347,tambovka,50.0969,128.0489,2.63,58,54,3.19,RU,1728688229
348,bardai,11.65,7.2333,25.3,61,68,3.53,NG,1728688230
349,san-pedro,4.7485,-6.6363,24.26,91,96,1.9,CI,1728688232
350,pucheng,27.9233,118.5333,15.66,82,80,0.41,CN,1728688233
351,san pedro pochutla,15.7333,-96.4667,29.84,83,75,1.99,MX,1728688235
352,pyapon,16.2833,95.6833,24.59,92,90,1.29,MM,1728688236
353,vung tau,10.346,107.0843,27.32,83,93,7.78,VN,1728688237
354,antofagasta,-23.65,-70.4,15.6,82,43,2.2,CL,1728688239
355,kingston,17.997,-76.7936,27.87,87,53,0.91,JM,1728688240
356,nzerekore,7.7562,-8.8179,20.88,99,100,1.0,GN,1728688241
357,san luis de la loma,17.2706,-100.8939,27.54,79,67,1.99,MX,1728688242
358,devils lake,48.1128,-98.8651,13.99,48,0,3.09,US,1728688244
359,zamania,25.4333,83.5667,24.03,57,100,1.73,IN,1728688245
360,tucuma,-0.1833,-50.05,26.99,76,100,4.81,BR,1728688246
361,tevriz,57.509,72.4042,-3.72,78,58,4.69,RU,1728688248
362,zhengjiatun,43.5064,123.5064,7.2,44,0,2.44,CN,1728688249
363,zheshart,62.0731,49.5733,-1.39,60,96,4.39,RU,1728688250
364,lethem,3.3803,-59.7968,29.28,54,92,3.12,GY,1728688252
365,cold lake,54.4502,-110.2017,5.56,80,100,1.51,CA,1728688253
366,marsh harbour,26.5412,-77.0636,26.84,71,74,8.81,BS,1728688254
